35,44.3,139,35,5
35,41,139,29
35,38.3,139,51.8
35,40,139,19
35,47.3,139,18.7
35,47.5,139,3


35,28,138,26.5
35,17.3,138,26.7
35,31.7,138,36.9
35,26.2,138,50.2
35,36.5,138,56.3
35,39.8,138,43.5
35,41.6,138,26.9
35,51.7,138,23.2


36,6.3,139,11
35,59.1,139,20.1
35,46.4,139,24.8
35,52.5,139,35.2
35,53,139,45.4
36,5.2,139,38.1


35,26,139,23.2
35,19.2,139,27
35,10.7,139,37.8
35,16.6,139,9.3


35,21.7,139,56.4
35,6.7,140,6
35,14.1,140,5.9
35,23.8,140,8.9
35,25,140,18.6
35,39.4,140,28.8
35,43.7,140,12.7
35,42.7,140,2.6
35,51.8,140,6.6
35,51.5,140,30.1


36,12.1,139,43
36,10.1,139,56.7
36,16.9,139,59.3
36,6.2,140,13.2
35,53.4,140,12.7
35,57.8,140,37.3
36,10.1,140,31.6
36,23.7,140,14.4
36,34.8,140,38.7
36,36.4,140,19.5
36,46.7,140,20.7
36,50,140,46.3






35,41.5,139,45
35,40,138,33.2
35,30,138,45.6
35,21.6,138,43.6
35,59.4,139,4.4
36,9,139,22.8
35,26.3,139,39.1
35,36.1,14.,6.2
34,59.2,139,51.9
35,9,140,18.7
35,44.3,140,51.4
36,22.8,140,28
36,3.4,140,7.5
